epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8896,0.68778,5.05682,0.00615,0.93954,0.315,0.71888,0.61668,0.50326,5.38266,0.00749,0.000654321,0.000654321,0.000654321
2,50.7501,0.75439,2.81872,0.00683,0.86649,0.82658,0.92027,0.76634,0.66195,2.14203,0.0102,0.00130791,0.00130791,0.00130791
3,74.228,0.76119,1.79249,0.00686,0.87929,0.87838,0.94248,0.77722,0.66148,0.82484,0.0105,0.0019483,0.0019483,0.0019483
4,97.7217,0.81117,1.19292,0.00759,0.90734,0.92793,0.95656,0.80172,0.63955,0.44317,0.01001,0.0019406,0.0019406,0.0019406
5,121.651,0.7891,0.89722,0.0072,0.90176,0.90968,0.95728,0.80602,0.63029,0.46764,0.00952,0.0019208,0.0019208,0.0019208
6,147.71,0.75643,0.75241,0.00707,0.93236,0.90038,0.96595,0.82022,0.59708,0.37976,0.0085,0.001901,0.001901,0.001901
7,172.697,0.74247,0.67847,0.00685,0.94446,0.91921,0.96406,0.82785,0.58754,0.37387,0.00858,0.0018812,0.0018812,0.0018812
8,197.47,0.71169,0.59929,0.00644,0.96183,0.93694,0.97292,0.8417,0.54624,0.33734,0.00808,0.0018614,0.0018614,0.0018614
9,223.443,0.72537,0.58077,0.00668,0.91544,0.92658,0.96108,0.82298,0.58287,0.39113,0.00912,0.0018416,0.0018416,0.0018416
10,248.17,0.68142,0.54777,0.00646,0.95973,0.92117,0.97113,0.8472,0.54043,0.3442,0.00785,0.0018218,0.0018218,0.0018218
11,273.324,0.68223,0.5269,0.00618,0.96386,0.90114,0.96538,0.815,0.6034,0.39132,0.00919,0.001802,0.001802,0.001802
12,298.705,0.71005,0.5545,0.00664,0.94501,0.92887,0.96998,0.8302,0.61228,0.36871,0.00984,0.0017822,0.0017822,0.0017822
13,324.234,0.69702,0.51373,0.00647,0.96855,0.90991,0.97033,0.85194,0.52873,0.3621,0.0082,0.0017624,0.0017624,0.0017624
14,351.039,0.69385,0.52039,0.00648,0.94962,0.94144,0.96921,0.85308,0.51684,0.33315,0.00753,0.0017426,0.0017426,0.0017426
15,376.708,0.66516,0.46107,0.00607,0.94059,0.92716,0.96854,0.84243,0.55507,0.35113,0.00826,0.0017228,0.0017228,0.0017228
16,406.012,0.67293,0.49566,0.00646,0.95068,0.95495,0.97506,0.84909,0.53011,0.30799,0.00832,0.001703,0.001703,0.001703
17,433.38,0.66513,0.50317,0.00604,0.95077,0.95689,0.97627,0.86673,0.4762,0.31221,0.00717,0.0016832,0.0016832,0.0016832
18,458.494,0.6637,0.48885,0.00612,0.96915,0.91986,0.97573,0.84361,0.5395,0.31084,0.00832,0.0016634,0.0016634,0.0016634
19,483.247,0.64659,0.45432,0.00622,0.96337,0.93468,0.97303,0.84939,0.54973,0.3222,0.00824,0.0016436,0.0016436,0.0016436
20,509.446,0.67424,0.48081,0.00634,0.96549,0.9527,0.97529,0.85861,0.51201,0.30918,0.00763,0.0016238,0.0016238,0.0016238
21,535.719,0.64142,0.43786,0.00591,0.93933,0.9527,0.97614,0.84265,0.58925,0.31767,0.00883,0.001604,0.001604,0.001604
22,561.601,0.62075,0.42146,0.00584,0.96759,0.94141,0.9798,0.8773,0.49118,0.30289,0.00795,0.0015842,0.0015842,0.0015842
23,588.54,0.63195,0.44779,0.00585,0.97428,0.93842,0.97203,0.84993,0.54083,0.33971,0.00791,0.0015644,0.0015644,0.0015644
24,613.294,0.63312,0.44439,0.00597,0.98326,0.9259,0.9748,0.86731,0.49581,0.30017,0.00747,0.0015446,0.0015446,0.0015446
25,637.331,0.61729,0.43425,0.00575,0.97797,0.94595,0.9768,0.85278,0.53224,0.29286,0.00821,0.0015248,0.0015248,0.0015248
26,661.133,0.61945,0.4453,0.00576,0.98236,0.93694,0.97448,0.87818,0.477,0.28824,0.00732,0.001505,0.001505,0.001505
27,685.52,0.60386,0.41826,0.00556,0.97428,0.93843,0.97643,0.87391,0.4588,0.28999,0.00707,0.0014852,0.0014852,0.0014852
28,709.83,0.6097,0.42358,0.00558,0.97193,0.94595,0.97465,0.87428,0.48327,0.30412,0.00689,0.0014654,0.0014654,0.0014654
29,733.783,0.60412,0.42813,0.00548,0.97548,0.93694,0.97676,0.89148,0.44799,0.26548,0.0068,0.0014456,0.0014456,0.0014456
30,758.267,0.60377,0.42331,0.00558,0.99095,0.94369,0.97492,0.86916,0.46148,0.28818,0.00719,0.0014258,0.0014258,0.0014258
31,782.184,0.59666,0.4192,0.00546,0.95812,0.94144,0.97574,0.88419,0.4675,0.28558,0.00685,0.001406,0.001406,0.001406
32,806.193,0.59539,0.40996,0.00566,0.95703,0.9527,0.97868,0.8792,0.45404,0.26464,0.00692,0.0013862,0.0013862,0.0013862
33,830.481,0.58613,0.38712,0.00531,0.96379,0.96171,0.97757,0.86455,0.50665,0.27822,0.00789,0.0013664,0.0013664,0.0013664
34,854.349,0.56274,0.40285,0.00524,0.97664,0.9418,0.97673,0.89538,0.43474,0.25415,0.00653,0.0013466,0.0013466,0.0013466
35,878.641,0.58658,0.39067,0.00541,0.96942,0.9482,0.97719,0.89297,0.41817,0.25838,0.00629,0.0013268,0.0013268,0.0013268
36,902.851,0.57069,0.37473,0.00524,0.98262,0.93919,0.97861,0.89432,0.42699,0.28399,0.00633,0.001307,0.001307,0.001307
37,927.361,0.56469,0.37891,0.00521,0.97538,0.9482,0.97898,0.88587,0.4404,0.2357,0.00674,0.0012872,0.0012872,0.0012872
38,951.857,0.55912,0.39493,0.00518,0.97672,0.95045,0.97729,0.89276,0.42149,0.27072,0.00665,0.0012674,0.0012674,0.0012674
39,975.867,0.55493,0.38649,0.00511,0.98136,0.94144,0.97731,0.87965,0.44977,0.28436,0.00676,0.0012476,0.0012476,0.0012476
40,1000.29,0.57282,0.38603,0.0054,0.97894,0.94225,0.98092,0.89197,0.44252,0.25132,0.00665,0.0012278,0.0012278,0.0012278
41,1024.89,0.54624,0.37178,0.00493,0.97475,0.96171,0.98221,0.87375,0.49353,0.25819,0.00727,0.001208,0.001208,0.001208
42,1049.53,0.56156,0.3848,0.00506,0.98137,0.94922,0.98013,0.88635,0.46504,0.24914,0.00658,0.0011882,0.0011882,0.0011882
43,1074.1,0.54522,0.35603,0.00496,0.98382,0.9588,0.98059,0.8997,0.41442,0.25581,0.00617,0.0011684,0.0011684,0.0011684
